"","HSBC","CLP","CK"
"04/01/1999",55.0275819726936,24.9186207342792,50.5601219166491
"05/01/1999",55.1739319247486,25.0497713697227,50.0983856434377
"06/01/1999",56.783781397354,25.1153466874445,52.8688032827061
"07/01/1999",60.0034803425648,25.1809220051663,56.7935616050031
"08/01/1999",60.2961802466749,25.6399492292188,56.5626934683974
"11/01/1999",59.7107804384547,25.7055245469406,56.100957195186
"12/01/1999",60.2961802466749,26.0989764532713,56.5626934683974
"13/01/1999",58.1009309658493,25.4859778488307,53.5614076925232
"14/01/1999",58.8326807261245,25.0867197102068,52.6379351461004
"15/01/1999",57.3691812055742,24.9536336639988,52.4070670094947
"18/01/1999",59.1253806302346,24.9536336639988,54.4848802389461
"19/01/1999",59.4180805343447,24.6209185484788,54.7157483755518
"20/01/1999",60.0034803425648,24.3547464560628,54.0231439657346
"21/01/1999",58.5399808220145,23.8224022712308,51.9453307362833
"22/01/1999",57.6618811096842,23.6227732019188,50.5601219166491
"25/01/1999",56.3447315411889,23.2235150632948,49.4057812336206
"26/01/1999",56.3447315411889,23.6227732019188,50.0983856434377
"27/01/1999",57.0764813014641,24.0885743636468,51.2527263264662
"28/01/1999",55.1739319247486,23.3566011095028,49.4057812336206
"29/01/1999",56.4910814932439,23.4231441326068,49.6366493702263
"01/02/1999",57.6618811096842,23.4896871557108,50.0983856434377
"02/02/1999",56.4910814932439,23.3566011095028,48.9440449604092
"03/02/1999",56.4910814932439,23.3566011095028,47.558836140775
"04/02/1999",56.783781397354,23.9554883174388,47.558836140775
"05/02/1999",55.3202818768037,23.8224022712308,45.9889328118562
"08/02/1999",55.0275819726936,24.0885743636468,45.2501547747179
"09/02/1999",55.1739319247486,24.5543755253748,45.619543793287
"10/02/1999",54.2958322124184,24.0220313405428,44.2343349736528
"11/02/1999",54.5885321165285,23.6227732019188,45.2501547747179
"12/02/1999",56.1983815891339,24.3547464560628,46.6353635943521
"15/02/1999",56.637431445299,24.0885743636468,47.0970998675635
"19/02/1999",57.9545810137943,23.6227732019188,45.619543793287
"22/02/1999",57.3691812055742,23.6893162250228,45.8042383025716
"23/02/1999",60.2961802466749,24.0220313405428,46.6353635943521
"24/02/1999",61.7596797672253,24.2216604098548,47.7897042773807
"25/02/1999",62.3450795754454,24.0885743636468,47.3279680041692
"26/02/1999",63.8085790959958,24.2882034329588,48.7131768238035
"01/03/1999",65.2720786165461,23.8712965509013,50.3292537800434
"02/03/1999",64.1012790001058,24.2075119952802,49.4057812336206
"03/03/1999",64.1012790001058,24.3419981730318,48.9440449604092
"04/03/1999",64.1012790001058,24.274755084156,48.7131768238035
"05/03/1999",66.7355781370965,24.2075119952802,49.6366493702263
"08/03/1999",67.0282511867885,24.4764843507833,50.0983856434377
"09/03/1999",68.8156712184362,25.48513068392,51.4835944630719
"10/03/1999",70.6030912500839,25.6196168616716,52.8688032827061
"11/03/1999",69.70938123426,25.2834014172927,52.4070670094947
"12/03/1999",70.6030912500839,25.48513068392,53.0996714193118
"15/03/1999",70.6030912500839,25.48513068392,55.1774846487632
"16/03/1999",70.9009945886918,25.3506445061685,55.4083527853689
"17/03/1999",71.7947046045157,24.9471859729138,56.100957195186
"18/03/1999",70.007284572868,24.274755084156,54.4848802389461
"19/03/1999",72.6884146203395,25.5523737727958,56.5626934683974
"22/03/1999",72.0926079431236,25.48513068392,57.2552978782145
"23/03/1999",71.4968012659077,25.2161583284169,57.0244297416088
"24/03/1999",69.4114778956521,24.4764843507833,54.9466165121575
"25/03/1999",70.6030912500839,24.8126997951622,54.7157483755518
"26/03/1999",71.7947046045157,24.4092412619076,52.6379351461004
"29/03/1999",71.4968012659077,24.6782136174107,51.7144625996776
"30/03/1999",72.6884146203395,25.0816721506653,54.2540121023404
"31/03/1999",72.3905112817316,25.0144290617896,54.4848802389461
"01/04/1999",73.8800279747713,25.2161583284169,55.4083527853689
"07/04/1999",78.3485780538905,25.3506445061685,58.6405066978487
"08/04/1999",80.1359980855382,24.879942884038,59.1022429710601
"09/04/1999",80.4339014241462,25.0144290617896,61.1800562005115
"12/04/1999",79.2422880697144,24.8126997951622,59.7948473808772
"13/04/1999",80.4339014241462,24.8126997951622,60.4874517906944
"14/04/1999",79.8380947469303,25.0144290617896,59.7948473808772
"15/04/1999",80.4339014241462,24.879942884038,59.7948473808772
"16/04/1999",82.5192247944018,25.3506445061685,62.1035287469343
