,-18.0,-17.0,-14.0,-11.0,-8.0,-5.0,-2.0,-0.5,-0.1,-0.05,0.05,0.1,0.5,2.0,5.0,8.0,11.0,14.0,17.0,18.0
0.01,inf,inf,inf,[0.00023905 0.00012928],[0.00036054 0.00010103],[5.48259741e-04 8.69365714e-05],[1.23939970e-03 7.74677308e-05],[4.87173649e-03 7.37057732e-05],[2.45965937e-02 7.27836724e-05],[4.93912553e-02 7.26705731e-05],7.244577735994965e-05,7.233407398613977e-05,7.145667192581214e-05,6.840102213385563e-05,6.31918835117859e-05,5.8883925641143384e-05,5.5238794549879235e-05,inf,inf,1.0
0.025,inf,inf,inf,inf,inf,inf,[0.00342662 0.00054335],[0.01222597 0.00047202],[0.06111955 0.00045704],[0.12280604 0.00045525],0.00045173996521378877,0.0004500106310676494,0.000436781102613842,0.0003949492723662834,0.0003350868298091688,0.0002933962798739438,inf,inf,0.9999999999989996,inf
0.05,inf,inf,inf,inf,inf,inf,[0.00696065 0.00291224],[0.02511279 0.00197109],[0.12179341 0.00184264],[0.24447822 0.00182815],0.0018000425242707123,0.0017864167981459134,0.0016864075926787177,0.0014097761600158948,0.0010869427685299392,0.0008973428370935235,inf,inf,inf,inf
0.1,inf,inf,inf,inf,inf,inf,inf,[0.05482597 0.00869366],[0.24385397 0.00749038],[0.48717365 0.00737058],0.007145667192583706,0.007039867766770515,0.006319188351178772,0.004694340476070925,0.0032305455604708195,0.0025141617833736485,0.0020779152174101746,0.001780559319433166,0.001563215224370533,0.0015030246161269057
0.5,inf,inf,inf,inf,inf,inf,inf,inf,[1.37064935 0.21734143],[2.51127947 0.19710883],0.16864075928075634,0.1579797087794601,0.1086942768515999,0.05508773313399381,0.029752993277103415,0.020866120753841776,0.016207392185632295,0.013306596805943606,0.0113147191506495,0.010781386039599
2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,[11.13704537  4.65957957],2.2556418560244387,1.8777361904283694,0.8814037301483922,0.333857932061851,0.15771395184955003,0.10476650499554015,0.07879333209074955,0.06326882608482226,0.052912559721400944,0.05018348299408708
5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.869427685159998,8.07636390117711,2.9752993277103426,0.985712199059799,0.43854649949856933,0.2843712718975432,0.21047284304607017,0.13513822410589452,0.10592944464851366,0.18643787783928997
8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22.971976628821317,16.09063541332445,5.34172691298629,1.676264079928645,0.7279904560577118,0.41484039979226767,0.4867461413861078,0.12946982297269852,0.40242888026855156,0.37404382969671235
11.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,37.2675078881259,25.142774128317797,7.844377818027597,2.3834982957450905,1.0186885603430051,0.677563623560623,0.7568872892225742,0.7207706535545617,0.7028454842814753,0.6473606914150933
14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,53.11931776168643,34.898962657451655,10.432371895859783,3.1001724781321207,1.0594836769902076,1.0761454106057358,0.2823449173837744,0.9782325254511794,1.0101397909801646,0.49655337095655205
17.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,70.15675185317006,45.17691998429196,13.079815338183355,3.8229324398712206,1.6668590868378406,1.921591411806206,0.17141158717013155,1.3160299854160802,0.1279947823760921,1.2847098301333408
21.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,94.31500997915079,59.50199694692016,16.676578235199397,4.793014468863198,2.5670444584421492,2.727874276077282,1.1772998877213285,0.07906226539146871,0.0,1.1750600492632657e-12
22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.57109651327116,63.17525585578861,17.585258588526695,5.036405125937541,2.7010984139928853,2.694768536353479,0.16384641106181508,1.5628998030610703,1.2896350654045818e-12,1.2896350654045818e-12
