Date,Open,High,Low,Close,Adj Close,Volume
2016-03-15,152.649994,152.740005,150.899994,152.029999,139.583725,3731400
2016-03-16,150.919998,152.850006,149.710007,150.539993,138.215729,4310300
2016-03-17,150.389999,153.979996,148.750000,152.910004,140.391708,4431700
2016-03-18,153.910004,158.179993,153.869995,157.600006,144.697754,7413200
2016-03-21,157.240005,158.899994,155.750000,156.289993,143.494995,4410200
2016-03-22,155.500000,155.589996,153.360001,154.199997,141.576096,3521500
2016-03-23,154.250000,155.550003,153.589996,154.080002,141.465881,3633400
2016-03-24,152.399994,153.039993,150.130005,153.000000,140.474304,3693400
2016-03-28,153.139999,154.639999,152.380005,153.839996,141.245560,2308600
2016-03-29,152.869995,155.350006,151.500000,155.029999,142.338135,2919500
2016-03-30,156.130005,158.020004,154.889999,156.500000,143.687805,3130600
2016-03-31,156.179993,157.479996,156.059998,156.979996,144.128510,2927300
2016-04-01,156.460007,160.009995,155.089996,159.820007,146.735977,3373400
2016-04-04,159.970001,160.000000,157.389999,157.770004,144.853836,2478100
2016-04-05,156.440002,156.529999,154.550003,155.350006,142.631943,2822700
2016-04-06,155.259995,156.270004,153.919998,155.190002,142.485077,2927400
2016-04-07,153.649994,154.029999,149.369995,150.410004,138.096375,4786800
2016-04-08,152.070007,152.869995,150.009995,150.279999,137.977005,3122200
2016-04-11,151.179993,153.899994,150.410004,152.199997,139.739838,3464300
2016-04-12,152.669998,155.089996,151.300003,154.309998,141.677048,2732900
2016-04-13,156.529999,159.990005,156.380005,159.850006,146.763550,5151100
2016-04-14,159.529999,162.270004,159.149994,160.910004,147.736786,3067100
2016-04-15,161.229996,161.779999,158.199997,158.520004,145.542435,3467900
2016-04-18,157.610001,160.000000,157.149994,159.020004,146.001480,3031500
2016-04-19,157.750000,163.699997,157.000000,162.649994,149.334290,5832200
2016-04-20,162.000000,167.449997,161.940002,166.979996,153.309814,4802200
2016-04-21,166.550003,168.899994,165.009995,165.320007,151.785736,4165100
2016-04-22,165.789993,167.490005,165.660004,166.750000,153.098633,2680300
2016-04-25,166.000000,167.389999,164.059998,165.089996,151.574570,2473000
