Date,HSBC,CLP,CK
8/4/2002,60.52,29.51,41.61
9/4/2002,60.7,29.61,41.77
10/4/2002,60.34,29.41,41.29
11/4/2002,61.22,29.71,41.77
12/4/2002,60.7,29.61,41.93
15/4/2002,60.52,29.56,41.93
16/4/2002,60.7,29.26,42.25
17/4/2002,62.11,29.06,44.16
18/4/2002,62.81,28.71,44.96
19/4/2002,62.99,29.16,45.59
22/4/2002,62.28,29.06,45.12
23/4/2002,62.99,29.06,45.75
24/4/2002,62.81,29.06,45.91
25/4/2002,63.34,28.96,45.12
26/4/2002,63.34,29.06,44.96
29/4/2002,63.34,29.26,44.8
30/4/2002,63.87,29.46,45.75
2/5/2002,64.58,29.56,47.03
3/5/2002,65.28,29.66,46.87
6/5/2002,65.64,29.76,47.03
7/5/2002,65.46,29.86,47.19
8/5/2002,66.17,29.76,46.55
9/5/2002,65.64,30.16,45.75
10/5/2002,65.11,30.56,45.91
13/5/2002,66.34,30.66,46.55
14/5/2002,66.52,30.66,46.97
15/5/2002,67.22,30.56,48.09
16/5/2002,67.22,30.96,48.09
17/5/2002,67.22,30.96,48.73
21/5/2002,66.17,31.26,47.93
22/5/2002,66.7,31.26,48.09
23/5/2002,65.81,31.26,46.97
24/5/2002,66.17,31.36,46.65
27/5/2002,65.81,31.26,46.34
28/5/2002,66.52,30.96,46.18
29/5/2002,65.28,31.16,45.38
30/5/2002,65.28,31.06,44.9
31/5/2002,65.28,31.04,45.7
3/6/2002,66.17,31.24,44.9
4/6/2002,65.64,31.64,45.22
5/6/2002,65.81,31.54,45.7
6/6/2002,65.81,31.44,45.54
7/6/2002,64.93,31.64,46.02
10/6/2002,64.22,31.94,46.02
11/6/2002,64.4,31.64,45.54
12/6/2002,64.4,31.34,44.9
13/6/2002,63.7,31.44,44.58
14/6/2002,62.28,31.14,43.79
17/6/2002,61.4,31.14,43.63
18/6/2002,62.28,30.84,44.89
19/6/2002,61.58,30.54,43.73
20/6/2002,61.75,30.74,44.56
21/6/2002,60.7,30.54,43.56
24/6/2002,61.4,30.74,43.73
25/6/2002,61.05,30.44,43.23
26/6/2002,59.81,30.14,42.07
27/6/2002,60.7,30.64,42.73
28/6/2002,61.58,30.24,42.73
2/7/2002,61.4,29.44,42.4
3/7/2002,61.4,30.14,43.4
4/7/2002,61.75,30.44,44.06
5/7/2002,61.75,30.54,44.23
8/7/2002,62.11,30.44,43.73
9/7/2002,62.99,30.34,43.56
10/7/2002,62.28,30.44,43.89
11/7/2002,60.87,30.34,42.9
12/7/2002,61.4,30.34,43.4
15/7/2002,60.52,30.24,43.73
16/7/2002,59.81,30.04,42.4
17/7/2002,59.64,29.74,41.41
18/7/2002,60.87,29.64,42.24
19/7/2002,60.34,29.74,41.57
22/7/2002,59.46,29.64,40.41
23/7/2002,59.99,29.64,41.74
24/7/2002,57.87,29.84,40.08
25/7/2002,57.87,29.64,38.92
26/7/2002,58.4,29.54,38.09
29/7/2002,59.64,30.04,39.75
30/7/2002,60.34,29.74,40.74
31/7/2002,60.87,29.84,40.58
1/8/2002,60.17,30.04,39.91
2/8/2002,58.58,30.24,38.75
5/8/2002,58.4,29.84,37.92
6/8/2002,58.22,29.74,36.76
7/8/2002,59.99,29.94,38.42
8/8/2002,59.81,30.04,37.76
9/8/2002,60.87,30.04,36.43
12/8/2002,60.7,30.24,35.77
13/8/2002,61.05,30.74,36.76
14/8/2002,60.34,30.94,35.93
15/8/2002,61.75,30.94,37.09
16/8/2002,62.11,30.84,37.09
19/8/2002,62.11,30.84,36.76
20/8/2002,63.17,30.64,37.76
21/8/2002,63.88,30.84,38.26
22/8/2002,64.24,30.84,38.26
23/8/2002,63,30.64,38.42
26/8/2002,62.82,31.04,38.26
27/8/2002,63,31.14,37.43
28/8/2002,62.65,31.14,36.93
29/8/2002,62.65,31.44,36.6
30/8/2002,62.47,31.02,36.6
2/9/2002,61.94,31.22,36.1
3/9/2002,61.06,31.22,36.27
4/9/2002,60.71,31.52,36.93
5/9/2002,60.35,31.82,36.27
6/9/2002,60,32.32,36.43
9/9/2002,60.18,31.52,36.27
10/9/2002,61.24,31.52,36.6
11/9/2002,61.59,31.52,36.6
12/9/2002,61.76,31.92,36.43
13/9/2002,60.35,31.52,35.6
16/9/2002,60,32.02,34.61
17/9/2002,61.59,32.32,35.27
18/9/2002,60.18,32.02,34.44
19/9/2002,59.82,32.52,34.11
20/9/2002,59.65,32.62,33.28
23/9/2002,59.82,32.42,32.72
24/9/2002,58.59,32.52,32.25
25/9/2002,57.53,32.52,32.39
26/9/2002,58.06,32.02,33.78
27/9/2002,58.24,31.92,33.78
30/9/2002,56.65,32.02,32.25
2/10/2002,57,32.12,31.99
3/10/2002,56.12,32.02,30.59
4/10/2002,56.47,31.92,30.59
7/10/2002,55.59,31.72,30.26
8/10/2002,56.29,31.52,30.64
9/10/2002,56.47,31.52,31.04
10/10/2002,56.47,31.22,30.11
11/10/2002,57.88,31.32,30.58
15/10/2002,59.65,31.42,32.7
16/10/2002,60.35,31.22,32.83
17/10/2002,60.88,31.22,33.66
18/10/2002,60.88,30.62,34.49
21/10/2002,60.71,30.92,33.99
22/10/2002,61.06,30.82,34.32
23/10/2002,61.76,31.22,35.32
24/10/2002,61.41,30.92,35.49
25/10/2002,60.88,30.82,35.65
28/10/2002,61.41,31.12,36.48
29/10/2002,60.53,31.12,35.49
30/10/2002,60.53,31.52,34.66
31/10/2002,60,31.22,34.32
1/11/2002,60.53,31.02,34.16
4/11/2002,61.59,31.02,36.15
5/11/2002,61.76,31.12,35.32
6/11/2002,63,31.22,35.32
7/11/2002,62.65,31.52,35.98
8/11/2002,62.29,31.52,35.65
11/11/2002,61.06,31.62,34.82
12/11/2002,61.24,31.62,34.49
13/11/2002,61.76,31.12,34.82
14/11/2002,61.94,31.32,35.82
15/11/2002,61.24,31.22,36.65
18/11/2002,63.18,31.12,36.65
19/11/2002,63.53,31.52,36.81
20/11/2002,63.35,31.52,36.98
21/11/2002,63.71,31.42,37.31
22/11/2002,64.24,31.32,37.64
25/11/2002,64.06,31.32,37.81
26/11/2002,63.18,31.32,37.31
27/11/2002,62.65,31.42,36.81
28/11/2002,64.24,31.42,38.3
29/11/2002,64.59,31.3,37.97
2/12/2002,65.29,31.5,38.47
3/12/2002,64.94,31.3,38.3
4/12/2002,63.71,31.5,36.98
5/12/2002,63.88,31.5,37.14
6/12/2002,63.35,31.6,36.98
9/12/2002,63.18,31.4,36.31
10/12/2002,62.65,31.3,35.98
11/12/2002,62.47,31.3,35.65
12/12/2002,62.82,31.2,35.49
13/12/2002,62.29,31.4,35.15
16/12/2002,61.24,31.8,35.15
17/12/2002,62.47,31.6,35.32
18/12/2002,61.76,31.6,34.32
19/12/2002,61.76,31.8,34.49
20/12/2002,61.76,31.8,34.66
23/12/2002,61.24,31.8,34.66
24/12/2002,61.06,31.7,34.32
27/12/2002,60.88,31.6,33.5
30/12/2002,60,31.5,33.03
31/12/2002,60.18,31.4,33.66
