EY,CFTP,ln_MV,DY,BTME,DTE,HSI
0.193388272,0.180067089,26.05076933,5.939111516,0.443527667,0.735348757,1
0.022814848,0.055119599,26.04143918,3.813061243,1.934577626,0.43952434,1
0.030011661,0.015818754,26.17091536,2.474821126,3.616475419,0.507642907,1
0.079754034,0.215541014,24.4686686,2.341498473,0.296247402,0.316626009,0
0.036000465,0.0644,27.39422245,6.072670721,0.536565191,2.136789711,1
0.070568437,0.057273335,25.34000882,5.907172895,1.183315426,0.038880831,1
0.020057727,0.141838274,24.24993244,7.313636216,2.188853668,3.289895393,0
0.309520052,-0.35862068,23.81447877,5.881856884,0.241020777,0.198506888,0
0.097762992,0.13310171,26.26093036,5.946557181,1.520859419,0.345629538,1
0.118515776,0.036840445,25.68824145,5.876322072,0.446640513,0.283122255,1
0.194196265,0.087932737,23.93609688,6.050447112,0.320017209,0.1547325,0
0.139943363,0.041242105,26.37523489,5.035605096,0.49995314,0.164992819,1
0.08724673,-0.124364091,25.22597012,5.759459662,0.417345284,0.567736945,1
0.12450728,0.066016216,24.93739118,6.227297993,0.247428161,0.223837156,1
0.080412054,0.173196936,25.46337197,2.823846462,0.427032237,0.319732902,0
0.056246473,1.02524529,24.55812183,2.896725493,0.484074938,0.377004323,0
0.057031327,0.059414035,26.15660299,1.723484898,3.110748688,0.012314065,1
0.228731239,0.508621391,23.09309627,8.360835979,0.395134354,0.4781632,0
0.292967034,-0.700473654,22.55277553,8.333333288,0.47978022,1.567400553,0
0.107677274,-0.100125856,22.74113123,0,1.617401172,0.909095676,0
-0.019962325,0.060270419,23.36820832,5.414163397,0.204326259,0.345071416,0
0.17853838,0.129880846,23.51864593,4.852941424,1.288913272,1.124492257,0
0.042885336,-0.044526493,23.18306559,1.814376253,0.299648382,0.26864507,0
0.020108915,0.120439526,22.49526893,2.650602395,0.344335343,0.208106716,0
0.126081936,0.066372151,24.26473196,3.813155386,0.579964262,0.436249744,0
0.216233511,0.182986782,23.27325295,4.255319054,0.330040865,0.360361122,0
0.108194262,-0.115761001,22.82366641,2.233009713,2.115262178,1.669405655,0
0.081143079,0.090414522,22.7452508,6.508875881,0.688434445,0.247326078,0
0.046032923,0.026150526,26.28487195,2.877464394,1.394598656,0.268643133,1
0.04794984,0.015598773,23.93169217,2.173913022,0.515739784,0.904161618,0
0.131946805,0.061248349,22.99976685,4.219858148,0.490029273,0.007604497,0
0.228314072,-0.715381542,23.40315748,5.011737102,0.746138088,1.432869738,0
0.095619058,0.315929616,24.98018964,5.494511097,0.480983334,0.034391188,1
0.338025899,0.396093403,22.54118559,8.414239174,0.302184449,0.375130426,0
0.745497001,0.395277214,24.93739118,7.448792738,0.247428161,0.223837156,0
0.161814297,-0.065095111,23.20841713,2.405063292,1.602691824,1.887347233,0
0.082264226,-0.108498383,25.03984678,4.559089766,0.540365857,0.202886099,1
-0.071154503,0.066267658,22.48662583,6.975308613,0.447660868,0.014836023,0
0.201663992,0,23.02614798,6.070148665,0.5999831,1.043207403,0
0.396526878,-0.454044293,22.99192777,6.287878972,0.296952884,1.844904017,0
-0.019227482,-0.013450311,22.48932171,0,4.892690384,1.943828652,0
0.187124937,0.318889549,23.81361888,7.253521135,0.494711163,1.335808211,0
0.115083059,-0.073203092,22.65005559,1.805555541,0.204576962,0.404113341,0
0.154958959,0.161769766,24.43365098,5.801201032,0.749217045,0.443480457,0
0.007085615,0.007690741,23.31519328,0,10.45906725,0.064557781,0
-0.308540319,1.585625511,22.57753813,8.673469479,0.281394256,1.019730532,0
0.25452843,0.051830231,24.2447373,8.919469929,0.424077531,0.418722247,0
0.147500468,0.189907337,23.78394221,4.816024667,0.425236056,0.421308788,0
0.059436313,0.077721384,24.94693418,4.69660301,4.510564727,0.615618791,1
0.168302674,0.132888769,24.12336998,6.135518847,0.989505901,0.577001607,0
-0.065631701,-0.472823284,23.06975408,0,0.893374029,0.930189647,0
0.120463879,-0.034269074,23.64489376,5.134975496,0.446523305,0.716545936,0
0.025058882,0.029024143,25.09064826,1.120869089,3.698753827,0.027701038,0
0.292994472,0.375581988,23.09848342,5.813953575,0.276535063,0.509776849,0
0.07773548,0.091121313,25.48228825,2.371230504,2.09473385,0.117362343,1
0.072780018,-0.014658966,24.7062199,5.524029559,1.767191445,0.592532688,0
-0.321525017,0.175516855,23.20710189,2.560240935,0.846019441,0.250118314,0
0.225276821,0.103838807,22.69452959,8.529411738,0.834940103,0.221174451,0
-0.686370111,-0.166634237,22.57051075,0,2.446431297,1.736316063,0
0.031757379,0.147197849,23.81260862,0.606641276,1.29570622,1.071264374,0
0.203865645,-0.516651358,22.81657838,8.771929628,0.256014733,0.656607192,0
0.067945804,0.187234414,22.56587938,5.09923651,0.527711781,0.07172114,0
0.040699322,0.071067162,24.32407751,3.633047542,2.462051046,0.088543549,0
4.69E-06,0.002495817,26.26823871,0,46.71593567,0.621157501,0
0.431076211,0.623007709,22.80357218,6.402326638,0.223905727,0.459686428,0
0.07644112,0.46551555,24.58003044,2.200000048,0.593669629,0.044346503,0
0.006670588,-0.375525746,22.61914339,0,1.564812289,0.391413956,0
0.191205425,-0.370504626,24.02697462,5.756207567,0.748711509,1.188999342,0
0.248757525,0.690076583,26.10054019,6.086195177,0.365886798,2.859182485,1
0.009240233,0.024154529,24.53457995,0.088552957,6.919939035,0.039254949,0
0.049521117,0.052546996,25.34685787,3.613607147,2.474933175,0.173793487,0
0.19786112,-0.361864848,23.08808607,9.056732539,0.243342311,0.757235281,0
0.049235759,-0.075704184,24.29689422,0.943771732,1.922652509,0.059209135,0
0.115550331,0.055439663,25.31216988,3.851266082,1.46185999,0.376322471,1
0.010985061,0.022009628,25.60142948,0.430056317,6.12109062,0.03675166,0
0.050404105,0.106361771,24.23529939,2.11267614,0.533929488,1.549318211,0
0.052952057,0.068454244,22.56614712,1.314814858,1.605582426,0.128173619,0
0.11522427,0.132906012,23.27490756,9.186263173,2.751808338,0.274646717,0
0.056089887,0.205783478,23.7808912,23.22288524,0.557161732,0.80997754,0
0.529742738,0.33604,23.6749868,0,1.72821708,1.138070673,0
0.048103739,0.094984926,25.0485419,3.093285077,3.537822894,0.558099249,0
0.090867315,0.067679656,23.72623607,9.819471649,0.676396365,1.231198685,0
0.141938758,0.170513394,22.94575474,6.329966113,0.697628182,0.226579295,0
0.363147697,1.040869491,22.73206119,8.409497512,0.548297348,0.807650548,0
0.109690421,0.235023142,24.35664871,10.16648998,1.161165515,0.052332165,0
0.05589767,0.10711735,22.9252867,5.443942492,3.139064151,0,0
0.019501544,0.009364893,24.32171291,1.216885044,11.41225764,0.01282814,0
0.099099973,0.058014187,23.93851018,6.530890862,0.43564233,0.407360889,0
0.079051674,0.055172368,23.13279851,0.513016418,1.576799738,0.420288677,0
0.099588907,0.12028183,24.39656621,2.271170739,0.684197237,0.86962631,0
0.23879241,0.082187708,23.3641094,4.034137268,0.348536162,0.752567971,0
0.039853435,0.034712095,22.53301773,5.986696468,0.213480322,0.163550928,0
0.163784593,-0.235424478,24.14310986,5.672131161,1.00053022,1.319744057,0
0.369076154,0.396837899,22.64815817,6.37755102,0.243875394,0.363650338,0
0.027401304,0.176229071,23.01535727,0,0.979501914,0.259801717,0
0.050631972,0.036082621,22.49239877,0.512152765,3.34768586,0.346274429,0
0.06523497,0.002550152,25.65074407,1.74077737,3.833704747,0.92929547,0
0.055487539,-0.073326936,27.03192264,10.36001235,0.707635142,0.369510239,1
0.026426016,0.079196532,26.56858357,2.465104529,8.105355009,0.065706389,1
0.250791863,0.04710247,25.66349001,3.75760698,0.67454011,1.162616628,0
0.244064019,0.129454741,24.219855,4.336184337,0.438389671,0.692334078,0
0.084657229,0.066887354,23.20093547,7.163026569,0.747787235,0.903626092,0
0.097562034,-0.028773178,23.42614496,1.186942779,0.379111128,0.491883086,0
-0.295655181,-0.274855471,22.6821219,0,2.395918006,1.228344127,0
-0.079816598,2.439546304,23.46817701,0,0.310984887,6.003482782,0
0.073671702,0.029046116,23.94553322,3.020642274,1.604699066,0.287436581,0
0.122099738,0.077931024,22.565945,7.184210577,0.398597694,0.26496506,0
0.22421434,1.077392681,22.73950328,6.28326463,0.28016976,0.399112297,0
-0.417518606,0.155362907,22.69650185,2.492512821,0.686223559,0.001906018,0
-0.125971361,-0.220998336,22.50822237,0,7.930165211,0.338475311,0
0.049066216,0.035523568,24.38403484,2.702702642,3.231106732,0.40043109,0
0.174463576,0.264100913,24.4808385,0,0.819355273,1.222321032,0
0.318689048,-0.035765649,24.50810011,7.614181077,0.315747539,0.543264063,0
-0.148299305,-0.063590416,23.74270224,0,1.617867835,4.704004214,0
0.012806498,0.132468432,23.08301256,2.41935486,1.08067978,0.753442138,0
0.056797371,0.42385062,22.80620515,1.515679464,1.62025042,0.096018724,0
0.066465149,0.033932953,23.60434879,1.720226879,2.129314285,0.298903291,0
0.03302031,0.022440296,22.99108133,1.554605192,3.725875949,0.828904325,0
0.019840848,0.063400011,24.16887197,2.606712561,2.697061843,0.411197012,0
0.07657424,-0.00379806,23.4932836,4.346558734,0.501251141,0.040372513,0
0.541477426,-0.353166462,22.95301861,0,0.494047883,0.903870006,0
0.219306549,0.196230588,23.66411028,4.605341374,1.152946764,0.64161976,0
0.187013578,0.062828308,22.61227268,9.379604927,0.532661587,0.297621345,0
0.116273456,-0.068165467,23.73277744,8.399992715,1.01856463,0.711950762,0
0.064993998,0.143159839,23.72658425,10.4000001,0.599,0.549870056,0
0.086853266,0.113652736,24.36873876,2.840951004,1.015452292,0.044086336,0
-0.000302962,-0.038022302,22.74669819,0.930247556,2.034322462,0.08055053,0
0.238427343,0.455955701,22.91906366,6.689490737,0.672859849,0.512748661,0
0.103969931,0.025890675,23.5367868,3.279456222,0.918861378,0.29956251,0
0.13016338,0.114960293,23.91462415,6.921518594,1.032118411,1.493139524,0
0.182040777,-0.028324575,23.25152347,5.100649751,0.506499858,1.321869189,0
0.428959569,-0.068900846,22.82613722,11.83789979,0.384828304,0.455126909,0
0.115886892,-0.021854337,24.91100018,1.642617528,1.895107478,0.188127877,0
0.321438616,-0.122138081,22.93022892,8.289502388,0.392686096,1.120723721,0
0.151620944,0.20870147,22.8920803,7.382550496,0.848640518,0.218321626,0
0.246831573,0.173768192,23.83047911,12.60352558,0.720461428,0.477220439,0
0.186544843,0.158120832,23.82606892,7.157086226,0.50051565,0.512750842,0
0.07761476,0.040667029,23.29306215,2.619047605,1.687460235,0.45616071,0
0.200388859,0.087146303,23.7092317,3.944664188,0.819227319,0.438154987,0
0.142458279,0.187572499,22.80342901,11.32450356,0.510520951,0.001646104,0
0.185811193,-0.118334662,25.18435592,1.964636572,0.647409114,1.15123924,0
0.052463244,0.160688909,22.77533462,2.945599305,0.636479948,0.462288288,0
0.116105644,0.089799079,24.06947401,7.994490128,0.485106098,0.263236594,0
0.159977981,0.469630766,23.02386705,7.916666745,0.369218142,3.259202531,0
0.032418045,0.034702058,24.17100721,1.462395498,4.705748631,0.247407115,0
0.039004454,0.019516057,25.53140923,1.539036407,4.656350584,0.510991774,1
0.083119927,0.282957656,24.89153142,1.993729277,0.857884694,2.231533739,0
0.222948941,0.098053522,24.15565987,6.352941289,0.304319357,0.349979465,0
0.173216174,0.001379441,26.33203929,3.959944343,0.869149464,0.657707997,1
0.349033407,0.354491814,22.94576913,0,0.676833451,0.496003671,0
0.120737052,0.151931854,23.85622147,5.46591577,0.84224561,0.136758982,0
0.063236361,0.039672021,24.50901599,2.057328846,2.150666498,0.103360457,0
0.131219861,0.241619938,23.00207688,10.93617039,1.008339087,0.094417846,0
0.025237796,0.034695894,29.05226456,0.276944524,8.291120908,0.475672226,1
-0.084704564,-0.411992357,24.76673807,0,-6.966983563,-0.730985082,0
0.110286472,0.159404401,26.02916239,5.020080321,0.523870294,0.341279856,0
0.071063265,0.066786534,22.96388567,7.227332621,1.7773536,0.057692916,0
0.195226791,0.331362701,23.46990626,6.289635964,0.98705213,0.431253745,0
0.136127322,-0.059278391,22.55982423,2.926829203,0.350778433,0.619357328,0
0.103254182,0.43331377,25.26848492,1.680314888,0.923458871,1.37942912,0
0.500863794,-0.124691993,23.66451654,2.350176342,0.260944374,0.854151858,0
0.082111395,0.295138889,25.69176706,3.343075831,0.63,0.178572431,1
0.05978078,0.007065433,25.92889738,0.978359326,5.794996976,1.013310693,0
