"","HSBC","CLP","CK"
"1990-01-02",1.79684610758055,1.89205390220559,2.37681296373165
"1990-01-03",1.79684610758055,1.87641709309645,2.38906457694676
"1990-01-04",1.79684610758055,1.89205390220559,2.41356780337698
"1990-01-05",1.77256440342406,1.89205390220559,2.40131619016187
"1990-01-08",1.76042355134581,1.89205390220559,2.36456135051654
"1990-01-09",1.7847052555023,1.92332752042386,2.35230973730143
"1990-01-10",1.79684610758055,1.938964329533,2.4258194165921
"1990-01-11",1.7847052555023,1.92332752042386,2.40131619016187
"1990-01-12",1.77256440342406,1.89205390220559,2.40131619016187
"1990-01-15",1.74828269926756,1.87641709309645,2.34005812408631
"1990-01-16",1.73614184718931,1.86078028398732,2.30330328444098
"1990-01-17",1.74828269926756,1.87641709309645,2.34005812408631
"1990-01-18",1.74828269926756,1.92332752042386,2.34005812408631
"1990-01-19",1.77256440342406,1.90769071131473,2.37681296373165
"1990-01-22",1.7847052555023,1.89205390220559,2.36456135051654
"1990-01-23",1.7847052555023,1.89205390220559,2.35230973730143
"1990-01-24",1.77256440342406,1.87641709309645,2.36456135051654
"1990-01-25",1.7847052555023,1.87641709309645,2.41356780337698
"1990-01-30",1.77256440342406,1.89205390220559,2.43807102980721
"1990-01-31",1.77256440342406,1.90769071131473,2.47482586945254
"1990-02-01",1.7847052555023,1.90769071131473,2.47482586945254
"1990-02-02",1.7847052555023,1.92332752042386,2.4258194165921
"1990-02-05",1.79684610758055,1.92332752042386,2.41356780337698
"1990-02-06",1.8089869596588,1.938964329533,2.45032264302232
"1990-02-07",1.82112781173704,2.01714837507869,2.47482586945254
"1990-02-08",1.86969122005003,2.11096922973351,2.54833554874321
"1990-02-09",1.85755036797178,2.09533242062437,2.57283877517343
"1990-02-12",1.84540951589354,2.11096922973351,2.57283877517343
"1990-02-13",1.8089869596588,2.12660603884265,2.54833554874321
"1990-02-14",1.8089869596588,2.13451171367594,2.57283877517343
"1990-02-15",1.82112781173704,2.13451171367594,2.6463484544641
